SPEED_X;SPEED_Y;ANGLE_TO_TRACK_AXIS;TRACK_POSITION;TRACK_EDGE_SENSOR_4;TRACK_EDGE_SENSOR_6;TRACK_EDGE_SENSOR_8;TRACK_EDGE_SENSOR_9;TRACK_EDGE_SENSOR_10;TRACK_EDGE_SENSOR_12;TRACK_EDGE_SENSOR_14;LABEL_CODE;LABEL_NAME
0,88291;0,66047;0,51061;0,25712;0,08872;0,17121;0,34957;0,51956;0,11626;0,04543;0,02563;1;Accelera
0,88229;0,66961;0,51204;0,25634;0,09030;0,17671;0,36441;0,54004;0,10560;0,04403;0,02521;1;Accelera
0,88203;0,67107;0,51290;0,25483;0,09139;0,18033;0,37377;0,55337;0,09981;0,04306;0,02486;1;Accelera
0,88195;0,66332;0,51318;0,25260;0,09196;0,18188;0,37724;0,55876;0,09724;0,04244;0,02458;1;Accelera
0,92208;0,34204;0,47744;0,61111;0,03465;0,05449;0,92709;0,36648;0,24486;0,14787;0,08502;0;Gira Sinistra
0,92135;0,32774;0,47504;0,62292;0,03296;0,05125;1,00000;0,39057;0,25269;0,14961;0,08664;0;Gira Sinistra
0,92067;0,31867;0,47293;0,63605;0,03131;0,04858;1,00000;0,41496;0,25984;0,15064;0,08773;0;Gira Sinistra
0,92005;0,31481;0,47112;0,65054;0,02966;0,04647;1,00000;0,43857;0,26596;0,15097;0,08836;0;Gira Sinistra
0,91952;0,31587;0,46961;0,66636;0,02803;0,04487;1,00000;0,46052;0,27076;0,15063;0,08857;0;Gira Sinistra
0,91906;0,32154;0,46838;0,68349;0,02665;0,04377;1,00000;0,48041;0,27404;0,14980;0,08842;0;Gira Sinistra
0,91871;0,33062;0,46741;0,70195;0,02560;0,04315;1,00000;0,49711;0,27572;0,14852;0,08798;0;Gira Sinistra
0,91859;0,34400;0,46977;0,72103;0,02490;0,04329;0,95235;0,49972;0,27323;0,14615;0,08701;0;Gira Sinistra
0,61860;0,65061;0,52949;0,25619;0,09367;0,15130;0,21568;0,25554;0,29915;0,03613;0,02228;2;Gira Destra
0,61836;0,65237;0,52968;0,25001;0,09448;0,15238;0,21685;0,25669;0,30025;0,03504;0,02169;2;Gira Destra
0,61814;0,65276;0,52973;0,24381;0,09515;0,15319;0,21763;0,25741;0,09114;0,03405;0,02113;2;Gira Destra
0,61793;0,65263;0,52971;0,23762;0,09575;0,15384;0,21820;0,25789;0,08142;0,03310;0,02058;2;Gira Destra
0,61778;0,65183;0,52957;0,23144;0,09624;0,15427;0,21845;0,25803;0,07646;0,03222;0,02005;2;Gira Destra
0,58281;0,64633;0,52477;0,04675;0,08271;0,10683;0,13941;0,16685;0,01449;0,00676;0,00417;2;Gira Destra
0,58274;0,64710;0,52156;0,04436;0,08116;0,10548;0,13863;0,16686;0,01805;0,00676;0,00406;2;Gira Destra
0,58272;0,64485;0,51791;0,04337;0,07946;0,10378;0,13717;0,16584;0,21171;0,00716;0,00411;2;Gira Destra
0,58280;0,64096;0,51284;0,04406;0,07760;0,10169;0,13492;0,16363;0,20990;0,00815;0,00439;2;Gira Destra
0,58307;0,63303;0,50722;0,04672;0,07560;0,09923;0,13193;0,16027;0,20611;0,01026;0,00494;2;Gira Destra
0,61350;0,34647;0,45915;0,47859;0,04253;0,06808;0,25921;0,22129;0,18797;0,13255;0,07490;1;Accelera
0,61338;0,34348;0,45848;0,49088;0,04131;0,06565;0,26021;0,22203;0,18866;0,13372;0,07671;1;Accelera
0,61333;0,34361;0,45821;0,50333;0,04020;0,06367;0,26025;0,22192;0,18857;0,13419;0,07813;1;Accelera
